Sample Name	Protocol REF	Parameter Value[chromatography instrument]	Date	Performer	Extract Name	Protocol REF	Parameter Value[run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	MS Assay Name	Date	Performer	Raw Spectral Data File
Group-001.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-001.Subject-001.user_defined_sample_type.1.Extract-001	GC-negative mass spectrometry	1	GC	Agilent 5975C MSD	negative	Group-001.Subject-001.user_defined_sample_type.1.Extract-001.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_001_001.mzml
Group-001.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-001.Subject-001.user_defined_sample_type.1.Extract-001	GC-negative mass spectrometry	2	GC	Agilent 5975C MSD	negative	Group-001.Subject-001.user_defined_sample_type.1.Extract-001.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_001_002.mzml
Group-001.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-001.Subject-001.user_defined_sample_type.1.Extract-001	GC-negative mass spectrometry	3	GC	Agilent 5975C MSD	negative	Group-001.Subject-001.user_defined_sample_type.1.Extract-001.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_001_003.mzml
Group-002.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-002.Subject-001.user_defined_sample_type.1.Extract-002	GC-negative mass spectrometry	4	GC	Agilent 5975C MSD	negative	Group-002.Subject-001.user_defined_sample_type.1.Extract-002.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_002_001.mzml
Group-002.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-002.Subject-001.user_defined_sample_type.1.Extract-002	GC-negative mass spectrometry	5	GC	Agilent 5975C MSD	negative	Group-002.Subject-001.user_defined_sample_type.1.Extract-002.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_002_002.mzml
Group-002.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-002.Subject-001.user_defined_sample_type.1.Extract-002	GC-negative mass spectrometry	6	GC	Agilent 5975C MSD	negative	Group-002.Subject-001.user_defined_sample_type.1.Extract-002.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_002_003.mzml
Group-003.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-003.Subject-001.user_defined_sample_type.1.Extract-003	GC-negative mass spectrometry	9	GC	Agilent 5975C MSD	negative	Group-003.Subject-001.user_defined_sample_type.1.Extract-003.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_003_003.mzml
Group-003.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-003.Subject-001.user_defined_sample_type.1.Extract-003	GC-negative mass spectrometry	7	GC	Agilent 5975C MSD	negative	Group-003.Subject-001.user_defined_sample_type.1.Extract-003.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_003_001.mzml
Group-003.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-003.Subject-001.user_defined_sample_type.1.Extract-003	GC-negative mass spectrometry	8	GC	Agilent 5975C MSD	negative	Group-003.Subject-001.user_defined_sample_type.1.Extract-003.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_003_002.mzml
Group-004.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-004.Subject-001.user_defined_sample_type.1.Extract-004	GC-negative mass spectrometry	12	GC	Agilent 5975C MSD	negative	Group-004.Subject-001.user_defined_sample_type.1.Extract-004.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_004_003.mzml
