"chemical_name","inchi","chebi_identifier","var1_levels","var1_uri","var2_levels","var2_uri","treatment","sample_size","sample_mean","unit","sem"
"FAD","InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1","CHEBI:16238","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","1.6","","0"
"E-2-hexenal","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.8","","0"
"Z-3-hexenol","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.0","","0"
"E-2-hexenol","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.0","","0"
"1-hexanol","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.1","","0"
"Z-3-hexenyl acetate","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.1","","0"
"hexyl acetate","InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3","CHEBI:87510","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.0","","0"
"nonanal","InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3","CHEBI:84268","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.0","","0"
"BAL","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","1.2","","0"
"benzyl alcohol","InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","CHEBI:17987","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","1.1","","0"
"benzaldehyde","InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H","CHEBI:17169","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.1","","0"
"PHE","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","12.7","","0"
"2-phenylethanol","InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2","CHEBI:49000","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","12.0","","0"
"phenylacetaldehyde","InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2","CHEBI:16424","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.7","","0"
"DMT","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.6","","0"
"TMB","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.2","","0"
"EUG","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.1","","0"
"eugenol","InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3","CHEBI:4917","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.0","","0"
"methyleugenol","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.1","","0"
"GER","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","63.4","","0"
"geraniol","InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+","CHEBI:17447","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","49.5","","0"
"geranial","InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+","CHEBI:16980","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","9.9","","0"
"geranic acid","InChI=1S/C10H16O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,7H,4,6H2,1-3H3,(H,11,12)/b9-7+","CHEBI:67264","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","3.6","","0"
"geranyl acetate","InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+","CHEBI:5331","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","0.4","","0"
"NER","","","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","6.6","","0"
"nerol","InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-","CHEBI:29452","Papa Meilland","","petals","http://purl.obolibrary.org/obo/PO_0009032","Rosa Papa Meilland petals","3","6.1","","0"
