chemical_name	inchi	chebi_identifier	var1_levels	var1_uri	var2_levels	var2_uri	treatment	sample_size	sample_mean	unit	sem
hexan-2-ol			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
hexanal			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	4.948484238934703		0.5880575957957191
(E)-2-hexenal			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	57.615979379973986		7.341720665289983
(Z)-3-hexen-1-ol			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	7.639427405845331		0.631271338559417
(E)-2-hexen-1-ol			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	1.7886568417878266		0.9769507672859266
hexan-1-ol			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
nonane			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	2.0949343287533924		0.07026160214817594
alpha-pinene			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
benzaldehyde			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
beta-myrcene			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
(Z)-3-hexenyl acetate			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3	7.0955030529971195		1.1585442753928357
hexyl acetate			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
(E)-hexenyl acetate			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
(+/-)-limonene			R. chinensis 'Old Blush'	http://purl.obolibrary.org/obo/NCBITaxon_74649	sepals	http://purl.obolibrary.org/obo/PO_0009031	R. chinensis 'Old Blush' sepals	3			
