compound,inchi,chebi,variety,organism_part,treatment,sample_size,average_concentration,normalized_to_total_sum_concentration,unit,sem,publication_year
"(E,E)-farnesal","InChI=1S/C15H24O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11-12H,5-6,8,10H2,1-4H3/b14-9+,15-11+",CHEBI:15894,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
"(E,E)-farnesol","InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CHEBI:16619,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.43,0.001697056,,0.41,nature genetics 2018
"(E,E)-farnesyl acetate","InChI=1S/C17H28O2/c1-14(2)8-6-9-15(3)10-7-11-16(4)12-13-19-17(5)18/h8,10,12H,6-7,9,11,13H2,1-5H3/b15-10+,16-12+",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
(E)-2-hexen-1-ol,,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,6.12,0.024153445,,0.88,nature genetics 2018
(E)-2-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",CHEBI:28913,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,28.26,0.111532086,,4.93,nature genetics 2018
(E)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",CHEBI:10418,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
(E)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",CHEBI:64280,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
(Z)-3-hexen-1-ol,,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,15.15,0.059791617,,2.26,nature genetics 2018
(Z)-3-hexenyl acetate,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3/b5-4-",CHEBI:61316,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,32.34,0.127634383,,5.97,nature genetics 2018
"1,3,5-trimethoxybenzene","InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",CHEBI:31038,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,19.66,0.07759097,,4.88,nature genetics 2018
2-phenylethanol,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",CHEBI:49000,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
"3,5-dimethoxytoluene",,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
alpha-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1",CHEBI:132905,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.68,0.002683716,,0.14,nature genetics 2018
benzaldehyde,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,CHEBI:17169,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
benzylalcohol,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",CHEBI:17987,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,1.05,0.004143973,,0.25,nature genetics 2018
delta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3",CHEBI:140564,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,1.26,0.004972768,,0.48,nature genetics 2018
dihydro-beta-ionol,"InChI=1S/C13H24O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h11,14H,5-9H2,1-4H3",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,11.05,0.043610388,,0.62,nature genetics 2018
