chemical_name,inchi,chebi_identifier,var1_levels,var1_uri,var2_levels,var2_uri,treatment,sample_size,sample_mean,unit,sem
hexanal,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",chebi:88528,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0.6,,
(E)-2-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",chebi:28913,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0.8,,
(Z)-3-hexen-1-ol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",chebi:28857,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0,,
(E)-2-hexen-1-ol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4+",chebi:141205,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0,,
hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",chebi:87393,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0.1,,
(Z)-3-hexenyl acetate,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3/b5-4-",chebi:61316,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0.1,,
hexyl acetate,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",chebi:87510,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0,,
nonanal,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",chebi:84268,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0,,
benzylalcohol,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",chebi:17987,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,1.1,,
benzaldehyde,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,chebi:17169,PM,https://garden.org/plants/view/2273/Rose-Rosa-Papa-Meilland/,,,PM,,0.1,,
